date,value,cash,holdings_value,shares
2022-02-09 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-10 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-11 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-14 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-15 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-16 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-17 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-18 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-22 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-23 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-24 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-25 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-28 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-01 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-02 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-03 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-04 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-07 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-08 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-09 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-10 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-11 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-14 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-15 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-16 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-17 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-18 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-21 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-22 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-23 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-24 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-25 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-28 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-29 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-30 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-03-31 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-04-01 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-04-04 04:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-04-05 04:00:00,36120.85489910001,1784.5348991000137,34336.32,200
2022-04-06 04:00:00,35487.31489910001,1784.5348991000137,33702.78,200
2022-04-07 04:00:00,35548.114899100015,1784.5348991000137,33763.58,200
2022-04-08 04:00:00,35146.034899100014,1784.5348991000137,33361.5,200
2022-04-11 04:00:00,34294.77489910001,1784.5348991000137,32510.239999999998,200
2022-04-12 04:00:00,34669.41489910001,1784.5348991000137,32884.88,200
2022-04-13 04:00:00,35206.83489910002,1784.5348991000137,33422.3,200
2022-04-14 04:00:00,34204.55489910001,1784.5348991000137,32420.02,200
2022-04-18 04:00:00,34161.41489910001,1784.5348991000137,32376.88,200
2022-04-19 04:00:00,34618.41489910001,1784.5348991000137,32833.88,200
2022-04-20 04:00:00,34585.074899100015,1784.5348991000137,32800.54,200
2022-04-21 04:00:00,34426.19489910002,1784.5348991000137,32641.660000000003,200
2022-04-22 04:00:00,33518.05489910001,1784.5348991000137,31733.519999999997,200
2022-04-25 04:00:00,33731.87489910002,1784.5348991000137,31947.340000000004,200
2022-04-26 04:00:00,32539.334899100013,1784.5348991000137,30754.8,200
2022-04-27 04:00:00,32494.21489910001,1784.5348991000137,30709.679999999997,200
2022-04-28 04:00:00,33880.91489910001,1784.5348991000137,32096.379999999997,200
2022-04-29 04:00:00,32706.05489910001,1784.5348991000137,30921.519999999997,200
2022-05-02 04:00:00,32766.854899100013,1784.5348991000137,30982.32,200
2022-05-03 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-04 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-05 04:00:00,33033.71443910001,33033.71443910001,0.0,0
2022-05-06 04:00:00,33033.71443910001,33033.71443910001,0.0,0
